사용일자,자치구,호선명,역명,승차총승객수,하차총승객수,등록일자
20231107,동작구,4호선,동작(현충원),1489,1685,20231110
20231107,동작구,9호선,동작(현충원),1950,1557,20231110
20231107,강동구,5호선,둔촌동,9671,9644,20231110
20231107,송파구,9호선2~3단계,둔촌오륜,1218,1208,20231110
20231107,양천구,9호선,등촌,13608,12961,20231110
20231107,은평구,경의선,디지털미디어시티,3164,2904,20231110
20231107,마포구,공항철도 1호선,디지털미디어시티,16450,15479,20231110
20231107,마포구,6호선,디지털미디어시티,17022,18794,20231110
20231107,성동구,2호선,뚝섬,25733,27332,20231110
20231107,광진구,7호선,뚝섬유원지,8327,8258,20231110
20231107,강서구,5호선,마곡,13456,13518,20231110
20231107,강서구,공항철도 1호선,마곡나루(서울식물원),13342,12748,20231110
20231107,강서구,9호선,마곡나루(서울식물원),14889,14683,20231110
20231107,노원구,7호선,마들,14839,13784,20231110
20231107,성동구,5호선,마장,6579,6309,20231110
20231107,송파구,5호선,마천,8595,7818,20231110
20231107,마포구,5호선,마포,16632,16886,20231110
20231107,마포구,6호선,마포구청,16513,14695,20231110
